ID Number,Year,House,Gender,Interested,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
106,Senior,Mather,Female,Men,E,D,E,B,D,D,A,D,B,E,A,A,D,C,E,A,D,D,D,D,A,C,E,E,C,E,C,C,C,A,D
107,Sophomore,Mather,Female,Men,C,B,C,D,E,A,B,D,A,D,D,B,E,C,E,E,B,E,C,C,D,C,E,D,D,B,B,B,A,A,E
108,Sophomore,Kirkland,Female,Men,D,E,E,C,B,B,A,D,C,C,E,B,B,B,E,E,C,E,E,E,E,E,B,C,E,B,D,B,E,B,B
109,Sophomore,Mather,Male,Women,D,D,E,D,D,E,C,D,E,B,A,B,B,E,E,E,C,B,D,E,D,E,B,C,E,B,E,D,E,B,D
110,Sophomore,Mather,Female,Men,C,D,B,D,A,A,C,E,B,B,C,B,E,C,E,A,D,A,D,C,A,D,A,B,C,B,B,E,C,B,B
111,Sophomore,Mather,Male,Women,C,A,A,D,C,E,A,E,B,E,A,B,B,E,E,E,A,A,C,C,D,A,E,C,A,B,D,B,D,B,D
112,Senior,Eliot,Male,Men,D,A,A,C,B,D,A,A,E,A,B,B,A,E,E,E,C,A,C,D,C,D,A,A,C,D,B,A,A,D,D
113,Senior,Eliot,Female,Men,C,E,A,D,D,B,B,B,B,D,A,B,D,C,E,C,E,D,A,B,E,C,E,E,B,E,B,B,C,A,C
114,Senior,Eliot,Female,Men,C,E,E,C,B,B,E,B,B,D,A,C,C,A,E,D,B,E,A,B,A,C,A,B,C,A,A,A,D,E,E
115,Sophomore,Cabot,Female,Women,D,B,A,B,D,D,D,A,E,D,B,A,E,D,E,B,C,E,D,D,D,D,D,A,B,D,E,D,D,A,E
116,Sophomore,Adams,Female,Men,A,A,B,D,D,A,D,A,B,A,B,B,E,B,D,B,D,C,D,A,D,B,A,B,A,A,E,D,D,B,B
117,Senior,Eliot,Female,Men,C,A,E,C,C,B,E,A,C,B,A,C,C,A,B,E,A,E,C,B,D,E,D,E,B,E,E,A,D,B,B
118,Sophomore,Currier,Female,Both,B,E,B,E,B,A,B,D,B,E,C,A,B,B,E,D,D,D,D,B,E,B,E,B,C,A,E,B,C,A,E
119,Sophomore,Dunster,Male,Men,C,E,A,D,D,B,E,D,B,E,D,C,B,A,E,A,B,D,D,E,A,A,A,E,A,E,B,D,C,B,B
120,Sophomore,Dunster,Male,Women,E,A,D,C,E,D,D,D,E,B,E,E,C,B,B,D,C,C,D,B,E,C,E,C,E,B,E,B,D,A,C
121,Sophomore,Eliot,Female,Men,C,E,D,E,E,A,B,A,B,B,A,A,E,A,D,E,B,D,C,C,A,A,A,E,C,E,A,D,C,E,A
122,Sophomore,Lowell,Male,Women,C,E,A,C,A,C,B,D,B,B,E,B,B,C,E,A,E,E,D,B,D,C,D,C,C,B,C,D,C,B,B
123,Senior,Winthrop,Female,Men,C,A,A,D,A,C,E,A,C,A,B,C,B,E,B,D,E,A,B,C,D,B,D,E,B,A,D,D,A,A,D
124,Junior,Pforzheimer,Male,Men,C,B,A,C,E,B,B,D,A,A,A,A,B,C,E,E,B,C,D,E,E,B,B,A,D,E,B,B,B,A,D
125,Senior,Eliot,Male,Women,C,E,C,D,A,D,B,B,B,C,C,A,D,E,D,A,C,C,D,A,E,C,E,A,E,E,C,D,A,A,D
126,Junior,Adams,Male,Women,C,B,C,B,D,D,B,A,B,D,E,A,D,D,E,B,B,D,A,B,D,D,A,C,E,C,B,B,C,B,D
127,Sophomore,Winthrop,Female,Men,C,D,D,D,B,C,E,E,C,B,C,C,E,C,B,E,B,D,A,D,D,E,E,B,C,A,A,E,C,B,C
128,Junior,Pforzheimer,Male,Women,D,B,B,E,E,C,D,B,C,C,B,C,D,D,E,E,E,D,E,E,A,D,D,D,E,E,D,D,D,B,D
129,Sophomore,Mather,Female,Men,C,D,B,B,E,A,D,B,B,A,E,E,D,C,B,A,E,E,C,B,D,E,B,C,C,E,E,B,C,A,C
130,Junior,Kirkland,Male,Women,C,E,C,E,D,A,B,D,B,D,C,E,B,C,E,E,C,C,D,D,D,D,B,D,D,B,E,B,E,A,C
131,Junior,Eliot,Female,Both,D,E,E,A,E,E,E,D,B,C,D,E,D,D,A,B,B,D,B,B,B,E,E,C,C,B,B,A,B,B,C
132,Sophomore,Winthrop,Male,Women,E,D,B,B,E,D,D,E,B,A,A,A,B,D,E,E,C,B,D,C,B,D,B,B,D,D,A,E,C,A,B
133,Senior,Eliot,Male,Women,C,D,A,D,D,A,D,D,B,D,B,A,D,C,B,D,E,B,D,C,D,D,B,C,A,E,E,A,E,A,D
135,Junior,Quincy,Female,Men,C,C,A,A,D,C,A,B,C,D,B,A,B,C,B,A,E,B,A,C,A,C,B,B,A,E,C,B,C,A,A
136,Senior,Eliot,Female,Women,E,C,D,D,D,A,D,A,E,E,E,A,D,C,D,E,E,D,C,C,A,C,A,E,A,B,A,D,D,A,D
137,Sophomore,Dunster,Female,Men,D,C,A,D,B,B,B,D,C,B,D,B,B,D,E,E,D,E,D,B,C,E,E,E,A,E,E,B,D,C,A
138,Junior,Eliot,Female,Men,E,A,E,A,A,B,E,D,B,B,B,B,D,D,E,B,D,D,C,C,D,C,E,E,B,E,B,A,D,B,E
139,Sophomore,Mather,Male,Both,C,E,D,D,E,B,D,E,B,C,B,B,D,C,E,D,E,E,B,C,E,C,D,B,C,A,A,D,B,A,D
140,Senior,Eliot,Female,Men,E,A,B,C,B,B,D,E,B,C,D,A,D,C,C,B,E,D,C,B,A,E,C,E,A,A,A,A,D,A,D
141,Sophomore,Winthrop,Male,Women,B,E,E,D,E,E,C,D,A,E,C,B,B,C,E,E,D,D,B,C,A,C,E,B,A,B,B,B,E,D,B
142,Sophomore,Mather,Male,Women,C,D,E,B,E,B,B,A,B,A,E,B,E,C,B,E,E,D,B,C,E,C,D,A,C,B,E,B,A,B,E
143,Senior,Eliot,Male,Women,C,C,B,D,D,A,D,B,B,B,A,B,B,E,E,D,D,D,D,E,A,D,B,C,B,B,D,D,D,B,A
144,Sophomore,Pforzheimer,Female,Both,C,D,E,C,E,E,C,B,B,B,E,E,D,C,D,E,E,A,C,B,D,E,B,C,C,D,E,A,E,A,B
146,Sophomore,Kirkland,Female,Men,B,B,B,D,D,D,B,A,B,B,A,A,B,B,D,E,C,A,C,B,A,E,A,E,A,E,E,E,C,A,C
147,Senior,Winthrop,Female,Men,C,A,B,B,D,B,D,A,C,B,D,B,A,C,E,B,C,B,A,B,E,A,A,C,E,E,B,D,B,B,C
148,Senior,Eliot,Male,Men,D,E,E,A,B,B,E,D,E,A,B,A,B,B,B,E,E,C,B,B,E,C,A,A,A,B,C,B,E,B,B
149,Junior,Eliot,Male,Women,D,A,A,B,E,B,C,D,C,A,B,E,D,B,E,B,E,A,D,E,D,D,E,B,B,B,C,D,D,A,D
150,Sophomore,Cabot,Female,Men,C,A,B,C,D,B,C,A,E,B,B,B,A,C,E,E,D,E,C,C,D,C,A,B,B,E,B,D,C,B,D
151,Sophomore,Lowell,Female,Men,B,A,C,A,B,A,D,C,B,D,C,A,B,B,D,D,A,D,B,B,E,D,A,B,C,D,E,D,E,A,A
152,Sophomore,Kirkland,Male,Women,E,D,B,E,E,A,B,C,C,C,B,B,D,C,B,B,B,A,D,C,C,C,B,E,B,A,A,B,D,A,C
153,Sophomore,Leverett,Female,Men,C,D,E,C,E,A,A,D,B,E,B,E,B,C,E,B,C,C,C,E,D,E,B,D,A,A,B,A,D,B,B
154,Sophomore,Dunster,Female,Men,D,D,E,B,B,B,A,C,B,E,B,B,C,E,D,B,A,C,B,E,C,C,E,C,A,A,D,D,A,D,D
155,Sophomore,Winthrop,Female,Men,D,C,D,C,B,E,D,C,E,E,B,B,D,E,A,C,C,D,E,E,D,B,A,D,C,B,D,D,B,E,D
156,Sophomore,Leverett,Female,Men,D,B,E,A,E,C,B,C,B,D,A,A,E,C,E,E,E,A,A,C,D,D,A,D,A,A,E,B,E,A,B
157,Sophomore,Adams,Female,Men,C,E,C,A,D,B,B,C,D,C,A,B,E,E,B,A,D,D,C,C,A,E,B,B,E,B,A,B,C,B,C
158,Sophomore,Quincy,Male,Women,D,A,B,A,D,D,B,D,B,E,B,A,E,A,E,D,D,D,C,A,B,A,D,E,A,E,E,D,D,A,B
159,Junior,Eliot,Female,Men,C,A,B,D,E,B,B,E,C,E,C,A,A,B,D,E,C,E,A,B,A,E,E,E,E,E,B,E,B,B,B
160,Sophomore,Mather,Female,Men,C,B,D,E,A,C,B,C,E,E,B,C,D,C,D,D,A,A,C,E,D,D,A,D,A,E,C,B,D,B,B
161,Sophomore,Adams,Male,Women,C,E,A,C,A,C,A,E,B,A,C,E,C,C,E,D,B,A,D,D,D,C,E,B,C,E,B,B,C,E,D
162,Junior,Winthrop,Female,Both,D,B,B,A,A,C,E,A,B,D,D,C,C,C,E,D,A,A,C,B,C,D,A,B,A,C,C,A,B,A,B
163,Sophomore,Lowell,Male,Women,E,C,B,E,D,A,B,D,A,A,D,A,D,E,E,C,B,D,C,C,C,E,E,D,A,A,E,B,C,A,B
164,Sophomore,Lowell,Male,Women,D,B,C,D,B,B,C,A,D,D,B,D,B,E,C,D,A,E,D,C,D,D,B,E,C,A,B,B,C,A,D
165,Sophomore,Lowell,Female,Men,C,B,B,D,E,C,C,A,E,C,D,C,D,C,C,B,E,A,C,E,A,D,C,B,C,A,A,A,B,A,D
166,Freshman,Wigglesworth,Male,Women,D,C,E,D,A,B,C,D,E,A,E,B,B,C,E,B,A,E,B,B,D,D,D,C,A,B,A,C,D,B,D
167,Junior,Leverett,Female,Men,C,B,E,A,E,A,B,A,B,D,B,A,E,C,E,D,E,A,D,E,C,D,E,E,B,E,E,B,D,B,D
168,Freshman,Canaday,Male,Women,D,C,A,E,D,A,B,D,D,A,C,A,D,C,B,E,B,D,E,A,D,B,B,E,E,B,B,D,E,C,B
169,Sophomore,Eliot,Female,Men,C,B,C,A,E,B,E,D,B,A,C,E,C,E,A,D,A,C,C,E,D,A,B,D,D,A,B,C,B,B,B
170,Junior,Eliot,Male,Both,D,E,C,A,C,D,E,A,B,E,A,A,D,C,D,C,E,C,C,C,A,C,E,B,E,A,B,E,E,B,B
171,Senior,Dunster,Male,Women,A,E,C,E,E,A,B,E,B,D,E,C,B,C,E,A,E,C,D,C,B,D,A,C,E,D,B,D,B,D,A
172,Sophomore,Mather,Male,Women,E,D,A,B,E,D,C,D,E,D,B,C,D,E,E,E,B,B,D,E,A,D,E,E,C,E,E,E,D,B,D
173,Junior,Kirkland,Male,Men,C,D,B,B,A,A,A,D,B,B,D,C,D,D,B,D,A,D,C,C,C,E,A,B,A,C,B,A,D,E,B
174,Senior,Quincy,Male,Women,C,C,B,E,A,D,B,D,C,D,D,B,D,C,E,E,E,B,E,C,C,E,C,B,C,A,E,A,A,B,B
175,Junior,Mather,Male,Women,C,B,A,E,A,C,D,B,C,C,A,E,E,C,B,D,C,D,D,E,D,D,A,B,A,C,A,A,A,B,E
176,Sophomore,Eliot,Female,Men,D,B,E,D,A,C,D,C,E,B,C,B,E,E,D,B,A,A,A,C,D,D,E,E,C,E,B,A,C,C,B
177,Sophomore,Dunster,Male,Women,D,C,B,D,D,E,B,A,E,C,C,C,E,E,E,B,C,A,C,C,D,D,A,E,A,B,A,B,C,B,B
178,Junior,Eliot,Male,Both,C,A,D,A,D,A,B,E,B,D,D,D,E,C,D,E,A,C,E,C,A,D,B,C,B,A,B,D,A,C,D
179,Senior,None,Male,Women,C,C,B,D,A,B,A,C,C,A,C,B,D,B,E,D,D,B,D,B,D,E,D,C,C,D,E,D,E,A,E
